Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Number of late trains > 30min,Number of late trains > 60min
2015,1,ANGOULEME,PARIS MONTPARNASSE,155.541916168,335,1,45,24.6222222221999,4.05688622754,36,45.1944444444,4.32634730539,0.30303030303,0.242424242424,0.242424242424,0.0606060606061,0.0606060606061,0.0909090909091,31,20,10
2015,1,POITIERS,PARIS MONTPARNASSE,106.174097665,472,1,59,24,3.74309978769,35,45.3142857143,3.07643312102,0.241379310345,0.310344827586,0.172413793103,0.137931034483,0.0689655172414,0.0689655172414,29,18,10
2015,1,PARIS LYON,TOULON,229.929824560999,231,3,11,21.5454545455,1.25,31,40.6451612903,8.92543859648999,0.357142857143,0.178571428570999,0.285714285714,0.0714285714286,0.0714285714286,0.0357142857143,31,15,4
2015,1,PARIS MONTPARNASSE,POITIERS,105.058091286,482,0,9,29.1111111111,0.651452282158,24,36.875,2.16597510373,0.277777777778,0.388888888889,0.0555555555556,0.111111111111,0.111111111111,0.0555555555556,16,8,6
2015,1,VANNES,PARIS MONTPARNASSE,214.417061610999,212,1,3,8.66666666666999,0.208530805687,11,32.0909090909,1.61137440757999,0.7,0.3,0,0,0,0,11,4,1
2015,1,MARSEILLE ST CHARLES,LYON PART DIEU,100.388994307,527,0,62,30.5967741935,3.88235294118,79,38.1139240506,7.88614800758999,0.25,0.161764705881999,0.161764705881999,0.147058823529,0.191176470588,0.0882352941176,50,27,12
2015,1,PARIS EST,FRANCFORT,99.4102564103,78,0,2,8,0.384615384614999,15,21.8,5.44871794872,0,0.8,0,0.2,0,0,10,3,0
2015,1,PARIS LYON,AVIGNON TGV,159.76875,483,3,19,14.1578947368,0.722916666666999,47,33.170212766,4.28541666667,0.377777777778,0.222222222222,0.0888888888889,0.133333333333,0.0888888888889,0.0888888888889,32,15,6
2015,1,NIMES,PARIS LYON,177.227739725999,292,0,26,12.7692307692,1.63698630137,35,29.6285714286,2.72602739726,0.411764705882,0.294117647059,0.0882352941176,0.117647058824,0,0.0882352941176,25,11,3
2015,1,LYON PART DIEU,MONTPELLIER,110.268786127,348,2,74,24.5,5.96242774566,57,38.8771929825,7.62138728323999,0.25,0.214285714286,0.232142857142999,0.160714285714,0.107142857143,0.0357142857143,42,22,12
2015,1,RENNES,PARIS MONTPARNASSE,136.521904762,525,0,36,15.0833333332999,1.38476190476,32,27,1.34476190476,0.483870967742,0.354838709677,0.0645161290323,0.0645161290323,0.0322580645161,0,24,8,3
2015,1,GRENOBLE,PARIS LYON,182.544843049,228,5,14,20.0714285714,1.41255605381,16,34.4375,2.20179372197,0.428571428571,0.142857142857,0.285714285714,0.0714285714286,0.0714285714286,0,16,8,1
2015,1,QUIMPER,PARIS MONTPARNASSE,288.193717277,191,0,2,7.5,0.151832460733,10,30.8,1.40837696334999,0.777777777778,0.222222222222,0,0,0,0,10,3,1
2015,1,LILLE,LYON PART DIEU,191.139285714,282,2,31,18.3225806452,2.67857142857,35,42.5714285714,7.40357142857,0.235294117647,0.176470588235,0.264705882353,0.235294117647,0,0.0882352941176,28,14,6
2015,1,ANNECY,PARIS LYON,224.083769634,192,1,3,7,0.282722513089,23,38,5.02617801047,0.333333333333,0.190476190476,0.238095238095,0.047619047619,0.0952380952381,0.0952380952381,23,10,4
2015,1,PARIS LYON,GENEVE,171.014792898999,169,0,9,18.8888888889,1.16568047337,19,39.9473684211,5.65680473373,,,,,,,12,6,4
2015,1,PARIS MONTPARNASSE,ANGERS SAINT LAUD,96.0504926108,406,0,8,20.875,0.546798029557,19,25.6842105263,2.02955665025,0.473684210525999,0.105263157895,0.0526315789474,0.315789473684,0.0526315789474,0,13,5,1
2015,1,LAVAL,PARIS MONTPARNASSE,104.109589041,219,0,20,21.6,2.51141552511,13,32,1.71689497717,0.538461538462,0.230769230769,0.0769230769231,0.0769230769231,0.0769230769231,0,10,5,2
2015,1,BELLEGARDE (AIN),PARIS LYON,164.496794872,158,2,30,19.4,5.14743589744,17,46.7647058824,4.21153846154,0.0625,0.3125,0.3125,0.0625,0.1875,0.0625,14,8,4
2015,1,ANGERS SAINT LAUD,PARIS MONTPARNASSE,98.8571428570999,435,1,42,9.52380952381,1.75806451613,24,22,1.69585253456,0.291666666667,0.375,0.166666666667,0.0416666666667,0.0833333333333,0.0416666666667,14,2,1
2015,1,TOULOUSE MATABIAU,PARIS MONTPARNASSE,337.861445782999,168,2,7,21.7142857142999,1.11445783132999,17,77.8823529412,7.74096385541999,0.4,0,0.133333333333,0.266666666667,0.2,0,17,13,7
2015,1,PARIS MONTPARNASSE,LAVAL,98.8202764977,217,0,5,9,0.387096774194,6,23.8333333333,1.36866359447,0.333333333333,0.166666666667,0,0.166666666667,0.166666666667,0.166666666667,3,2,0
2015,1,LILLE,PARIS NORD,67.3298429318999,574,1,39,12,1.25828970332,86,14.0465116279,1.43106457243,0.0759493670886,0.417721518987,0.151898734177,0.20253164557,0.101265822785,0.0506329113924,24,4,1
2015,1,LYON PART DIEU,RENNES,264.756097561,82,0,24,15.0833333332999,5.30487804878,16,48.25,10.7804878049,0.666666666667,0,0.0666666666666999,0.2,0.0666666666666999,0,16,10,5
2015,1,PARIS LYON,PERPIGNAN,301.952229299,157,0,14,16.7857142857,1.68152866242,18,40.2777777778,5.45859872610999,0.444444444444,0.111111111111,0.222222222222,0,0.166666666667,0.0555555555556,18,11,3
2015,1,PARIS MONTPARNASSE,NANTES,134.252964427,506,0,9,23.2222222222,0.565217391304,41,22.2926829267999,3.68972332016,0.305555555556,0.25,0.138888888889,0.25,0,0.0555555555556,21,7,1
2015,1,LYON PART DIEU,MARSEILLE ST CHARLES,100.970950703999,569,1,135,31.1111111111,8.04577464789,116,40.9224137931,9.22535211268,0.425925925926,0.12962962963,0.194444444444,0.111111111111,0.0648148148148,0.0740740740741,93,48,26
2015,1,PARIS NORD,LILLE,63.6611018364,600,1,33,17.1818181818,1.16026711185,59,14.186440678,1.67445742904999,0.160714285714,0.285714285714,0.142857142857,0.107142857143,0.214285714286,0.0892857142857,19,5,1
2015,1,PARIS LYON,AIX EN PROVENCE TGV,181.435990337999,419,5,18,16.6666666667,0.886473429952,32,40.75,4.65217391304,0.466666666667,0.133333333333,0.1,0.2,0.0666666666666999,0.0333333333333,31,13,6
